question;option1;option2;option3;option4;option4;correct_option_number;question number
What will the output be after executing the following code snippet?\n	print(9** 3 ** 0 ** 1);3;9;1;18;;1;1
"What will the output be if we run the following code?\n	weekdays = (""""Monday"""",""""Tuesday"""",""""Wednesday"""",""""Thursday"""")\n	weekdays.append(""""Friday"""")\n	print (weekdays)";Monday, Tuesday, Wednesday, Thursday;Friday;None;AttributeError: 'tuple' object has no attribute 'append';;3;2
What will be the output of the following code?\n	Tupl=['Python','Tuple']\n	print(tuple(Tupl));('Python','Tuple');[Python,Tuple];['Python','Tuple'];(Python, Tuple);;0;3
"How many times will it print ""#""?\n if x != 10:\n       print(""#"")\n        if x<8:\n           print(""#"")\n        elif x==10:\n           print(""#"")\n        else:\n           print(""x"",*3)";3;1;2;4;;0;4
"What is the output for this code when ""robert"" is entered by the use when prompted?\n   name = input()\n   print(name==""Robert"")";True;error;Robert;False;;3;5
"What would be printed to the console after the following code is executed?\n    i=0\n    while i<1:\n        print('Hello',end="", "")\n        i+=1\n    else:\n        print(""World"")";Hello;"""Hello"", World";Hello World;Hello, World;;3;6
"What is the output when the following code snippet is run:\n    milk_left=""None""\n    if milk_left:\n        print(""Groceries trip pending!"")\n    else:\n        print(""Let's enjoy a bowl of cereal"")";Error;None;Let's enjoy a bowl of cereal;Groceries trip pending;;3;7
What will the output be after executing the following code? \n    def put(x):\n        return [6]\n    val = [0, 1, 2, 3, 4, 5]\n    y = put(val)\n    print(y);[6];[0,1,2,3,4,5];-6;(0,1,2,3,4);;0;8
What will the output be after executing the following code?\n    d = dict({1: 'Python', 2: 'Dictionaries'})\n    print(d);dict{'Python', 'Dictionaries'};dict({'Python', 'Dictionaries'});{'Python', 'Dictionaries'};{1: 'Python', 2: 'Dictionaries'};;3;9
"What is the output of this code after the user inputs ""Python"" when prompted?\n    word = input()\n    print(word*3)";PythonPythonPython;error;Python*3;Python Python Python;;0;10
What will the output be after running the following code?\n    def put(x):\n        x[-1] = 6\n    val = [0, 1, 2, 3, 4, 5]\n    put(val)\n    print(val);[0,1,2,3,4,5];(0,1,2,3,4,5,6);[0, 1, 2, 3, 4, 6];[1,2,3,4,5,6];;2;11
"What will the output be, if we execute the following code?\n    dict = {'Name': 'Python', 1: [1, 2, 3, 4], 2: ""hi""}\n    print(dict)";{'Name': 'Python', [1, 2, 3, 4], 'hi'};{'Name': 'Python', 1: [1, 2, 3, 4], 2: 'hi'};Syntax Error;{'Python', [1, 2, 3, 4], 'hi'};;1;12
"What will the output be after running the following code snippet?\n    full_name = ""robert method karamagi""\n    print(full_name.title())";Robert method karamagi;Robert method Karamagi;Robert Method Karamagi;ROBERT METHOD KARAMAGI;;2;13
What will the output be after calling the following function?\n    def sum(a,b):\n        return a * b\n        return a + b\n    print(sum(2,3));6;Syntax Error;6 5;5;;0;14
What will the output be after running the following code snippet?\n    age = 19\n    print(not age > 18 and age < 20);19;SyntaxError;True;False;;3;15
"What would be printed to the console after the following code isexecuted?\n    for num in range(1, 10, 2):\n        print(num, end = "","")";2,4,6,8,10;2,4,6,8;1,3,5,7,9;1,3,7,9;;2;16
"What will the output be after executing the following code snippet?\n    programming_language = ""Python 3""\n    print (programming_language[-1])";Nothing is printed;3;-1;P;;1;17
"What will the output be, if we run the following code?\n    dict1 = {1:""One"", 2:""Two""}\n    dict1[2] = ""One""\n    print(dict1)";No Output;{1: One, 2: Two};"{1:""One"", 2:""One""}";"{1: ""One"",1 : ""One""}";;2;18
What will the output be after running the following code?\n    nums = [1, 2, 3, 4, 5, 6, 7]\n    print(nums[::-1]);[1, 2, 3, 4, 5, 6];[7, 6, 5, 4, 3, 2, 1];[0, 1, 2, 3, 4, 5, 6];[7, 1, 2, 3, 4, 5, 6];;1;19
What is the output of this code when 'wi' and 'fi' are entered by the user when prompted and stored in a and b, respectively?\n    a = input()\n    b = input()\n    print(a + b * 3);wifiwiwifi;wifiwifiwifi;wifififi;wififififi;;2;20
"What will the output be after executing the following code?\n    print(""Hello"",""World"",""Python"", sep=""#"")";Hello#World#Python;error;#Hello#World#Python;HelloWorldPython#;;0;21
What is the output of the following code?\n    print (5//4);error;4;2;1;;3;22
What is the output of the following code?\n    num = 4,\n    print(type(num));error;<class 'int'>;<class 'tuple'>;Invalid Data Type;;2;23
"What will the output be after running the following code?\n    def oddoreven(num):\n        if (num % 2 == 0):\n            print('even')\n        else:\n            print(""odd"")\n    oddoreven(13)";odd;even;;;;0;24
What will the output be after running the following code?\n    def swap(x, y):\n        z = x\n        x = y\n        y = z\n    x = 5\n    y = 10\n    swap(x, y)\n    print(x , y);error;5 10;10 5;Prints nothing;;1;25
What will the output be after running the following code?\n    def default(x, y=5):\n        print(y , x)\n    default(1);Prints nothing;1 5;error;5 1;;3;26
Will the following code run without errors?\n    tup1 = (1,3,5)\n    tup2 = (2,4)\n    tup1 = tup1+tup2\n    print(tup1);This code will run without errors.;This code will not run.;;;;0;27
"What is the output after executing the following code?\n    fruits = [""Apples"", ""Oranges"", ""Mangoes""]\n    for fruit in fruits:\n        if fruit != ""Apples"":\n            print(fruit, end="" "")";Oranges Mangoes;Apple Mangoes;Apple Oranges;Apple Oranges Mangoes;;0;28
"What do you expect the following code will print given the first input isapple (stored in variable a) and the second input is banana (stored invariable b)?\n    a = input()b = input()\n    x, y = b, a\n    print(x, y,sep=""::"")";apple:banana;apple::banana;banana:apple:;banana::apple;;3;29
What will the output be after running the following code snippet?\n    def myfun(num):\n        if num >= 4:\n        r   eturn num\n        else:\n            return myfun(1) * myfun(2)\n    print(myfun(4));0;4;2;1;;1;30
"What will the output be after running the following code snippet?\n    lst = [""apples"",""bananas"", """"]\n    lst.remove(""apples"")\n    print(lst)";['bananas', ''];['bananas'];['apples'];['apples', 'bananas', ''];;0;31
What will the output be after running the following code snippet?\n    nums = [1, 2, 3, 4, 5, 6, 7]\n    print(nums[::-1]);[7, 6, 5, 4, 3, 2, 1];[1, 2, 3, 4, 5, 6, 7];[1, 2, 3, 4, 5, 6];[2, 3, 4, 5, 6, 7];;0;32
What will the output be after running the following code snippet?\n    a = 0b1011\n    b = 0b1001\n    print(bin(a ^ b));0b01;0b11;0b10;10;;2;33
What is the output of the following program?\n    x=0\n    for i in range(10):\n        for j in range(-1, -10, -1):\n            x += 1\n    print(x);1;9;10;90;;3;34
What will the output be after running the following code snippet?\n    lst1 = [1, 4, 8, 16]\n    lst2 = [4, 16, 8, 1]\n    print(lst1 == lst2);Not equal;Equal;False;True;;2;35
What will the output be after running the following code snippet?\n    print(9 % 2 ** 4);4;error;1;9;;3;36
What is the output of the following snippet of code:\n    def func(num):\n        while num > 0:\n            num = num - 1\n    num=3\n    func(num);2;3;Nothing is printed;0;;2;37
