question,option1,option2,option3,option4,correct
"What is the output of the following code? int x = 7; int y = x++ + ++x; System.out.println(y);","14","15","16","17","16"
"What does the following expression evaluate to? System.out.println(3 + 4 + '5' + 6 + 7);","'34567'","'75'","'345'","'75'","'34567'"
"What is the default value of an instance variable of type boolean in Java?","true","false","null","0","false"
"Which of the following data types can store the largest value?","int","double","float","long","double"
"What will be the output of the following Java snippet? String str = 'APCS'; System.out.println(str.substring(1\, 3));","'AP'","'PC'","'PCS'","'CS'","'PC'"
"Which of the following is NOT a valid method header in Java?","public void example() {}","private static int example(int x) {}","public static double example(double x, int y) {}","void example() private {}","void example() private {}"
"What does Math.floor(4.9) return?","4.9","5.0","4.0","5","4.0"
"What is the result of the expression 5 / 2 in Java?","2","2.5","2.0","3","2"
"What keyword is used to prevent a method from being overridden?","static","final","private","protected","final"
"What is true about abstract classes?","They cannot have constructors.","They cannot contain implemented methods.","They cannot be instantiated.","They must have only abstract methods.","They cannot be instantiated."
"What will be printed by the following code? String s1 = 'hello'; String s2 = 'hello'; System.out.println(s1 == s2);","true","false","null","Compilation error","true"
"What does arr.length return in a Java array?","The number of elements in the array","The size of memory allocated","The last index of the array","The maximum number of elements the array can hold","The number of elements in the array"
"What is printed by the following code? for (int i = 0; i < 5; i += 2) { System.out.print(i + ' '); }","'0 1 2 3 4'","'0 2 4'","'0 2'","'1 3'","'0 2 4'"
"What happens when continue is encountered in a loop?","The loop is terminated.","The loop skips the remaining code in the iteration and starts the next iteration.","The program exits.","An exception is thrown.","The loop skips the remaining code in the iteration and starts the next iteration."
"Which of the following correctly declares an array of integers?","int[] arr = new int(10);","int arr = new int[10];","int[] arr = new int[10];","int arr[] = int[10];","int[] arr = new int[10];"
"What will be the output of the following code? String s = 'Java'; s = s.concat(' is fun!'); System.out.println(s);","'Java'","'Java is fun!'","Compilation error","'is fun!'","'Java is fun!'"
"Which of the following is true about method overloading?","Methods must have different names.","Methods must have different return types.","Methods must have different parameter lists.","Methods must have different access modifiers.","Methods must have different parameter lists."
"What will happen if we call super() in a constructor?","It calls the constructor of the parent class.","It calls the constructor of the current class.","It causes a compilation error.","It terminates the program.","It calls the constructor of the parent class."
"What will be the output of the following code? int x = 5; int y = 10; System.out.println(x > y ? x : y);","5","10","true","false","10"
"What does the equals method compare for objects?","Reference addresses","Hash values","Contents of the object","Memory allocation","Contents of the object"
