title,url,class,tags
Variables,https://github.com/gormes-EPIC/Variables,AP Computer Science A,"Java,25-26"
If Statements,https://github.com/gormes-EPIC/IfStatements,AP Computer Science A,"Java,25-26"
Using Classes,https://github.com/gormes-EPIC/UsingClasses,AP Computer Science A,"Java,25-26"
Using Classes 2, https://github.com/gormes-EPIC/UsingClasses2,AP Computer Science A,"Java,25-26"
While and For Loops,https://github.com/gormes-EPIC/Loop,AP Computer Science A,"Java,25-26"
While and For Loops 2,https://github.com/gormes-EPIC/Loop2,AP Computer Science A,"Java,25-26"
Writing Classes,https://github.com/gormes-EPIC/Classes,AP Computer Science A,"Java,25-26"
Writing Classes 2,https://github.com/gormes-EPIC/Classes2,AP Computer Science A,"Java,25-26"
Writing Classes 3,https://github.com/gormes-EPIC/Classes3,AP Computer Science A,"Java,25-26"
Arrays,https://github.com/gormes-EPIC/Array,AP Computer Science A,"Java,25-26"
Arrays 2,https://github.com/gormes-EPIC/Array2,AP Computer Science A,"Java,25-26"
Arrays 3,https://github.com/gormes-EPIC/Array3,AP Computer Science A,"Java,25-26"
QuadSorts,https://github.com/gormes-EPIC/Quadsorts,AP Computer Science A,"Java,25-26"
Recursion,https://github.com/gormes-EPIC/Recursion,AP Computer Science A,"Java,25-26"
2D Array,https://github.com/gormes-EPIC/2DArray,AP Computer Science A,"Java,25-26"
2D Array 2,https://github.com/gormes-EPIC/2DArray2,AP Computer Science A,"Java,25-26"
2D Array 3,https://github.com/gormes-EPIC/2DArray3,AP Computer Science A,"Java,25-26"
ArrayList,https://github.com/gormes-EPIC/ArrayList,AP Computer Science A,"Java,25-26"
ArrayList 2,https://github.com/gormes-EPIC/ArrayList2,AP Computer Science A,"Java,25-26"
Doubly Linked List,https://github.com/gormes-EPIC/DoublyLinkedList,AP Computer Science A,"Java,25-26"
Stack and Queue,https://github.com/gormes-EPIC/StackAndQueue,AP Computer Science A,"Java,25-26"
Reverse Polish Notation,https://github.com/gormes-EPIC/ReversePolishNotation,AP Computer Science A,"Java,25-26"
Code Critique with LLMs,https://github.com/gormes-EPIC/Code-Critique-with-LLMs,Software Engineering,"Python,25-26"
Model-View-Controller with Thermometer,https://github.com/gormes-EPIC/Intro-MVC-with-Thermometer,Software Engineering,"Python,25-26"
Pokemon API,https://github.com/gormes-EPIC/pokemon_starter,Software Engineering,"Python,25-26"
Light the LED,https://github.com/gormes-EPIC/LightTheLED,Raspberry Pis and Python,"Python,25-26"
Dim the LED,https://github.com/gormes-EPIC/DimTheLED,Raspberry Pis and Python,"Python,25-26"
Stoplight,https://github.com/gormes-EPIC/Stoplight,Raspberry Pis and Python,"Python,25-26"
Red Light Green Light,https://github.com/gormes-EPIC/RedLightGreenLight,Raspberry Pis and Python,"Python,25-26"
Temperature in Color,https://github.com/gormes-EPIC/TemperatureInColor,Raspberry Pis and Python,"Python,25-26"
Slot Machine,https://github.com/gormes-EPIC/SlotMachine,Raspberry Pis and Python,"Python,25-26"
Binary Display,https://github.com/gormes-EPIC/BinaryDisplay/tree/main,Raspberry Pi's and  Python,"Python,25-26"
Fun with IO Streams,https://github.com/gormes-EPIC/cpp_iostreams,Data Structures and Algorithms,"C++,24-25"
Wordle,https://github.com/gormes-EPIC/Lab2Wordle,Data Structures and Algorithms,"Java,24-25"
Game of Life,https://github.com/gormes-EPIC/Lab2GameOfLife,Data Structures and Algorithms,"Java,24-25"
Sort Review,https://github.com/gormes-EPIC/,Data Structures and Algorithms,"Java,24-25"
Stack and Queue,https://github.com/gormes-EPIC/StackAndQueue,Data Structures and Algorithms,"Java,24-25"
Reverse Polish Notation,https://github.com/gormes-EPIC/ReversePolishNotation,Data Structures and Algorithms,"Java,24-25"
Doubly Linked List,https://github.com/gormes-EPIC/DSA_DoublyLinkedList,Data Structures and Algorithms,"Java, 24-25"
Binary Search Tree,https://github.com/gormes-EPIC/BinarySearchTree,Data Structures and Algorithms,"Java,24-25"
Hangman with a Twist,https://github.com/gormes-EPIC/Hangman,Data Structures and Algorithms,"Java,24-25"
Kanpsack Problem with Greedy Algorithms,https://github.com/gormes-EPIC/GreedyKnapsackProblem,Software Engineering,"Any,24-25"
